name,提供調酒,提供精釀啤酒,提供生啤,暢飲店,官網,電話,營業時間,所在縣市,地址
"Mikkeller Taipei 米凱樂啤酒吧",No,Yes,,No,https://www.facebook.com/mikkellertaipei/,"02 2558 6978","16:00 - 0:00，週五週六開到1點，週二未營業",taipei,台北市大同區南京西路241號
"發琴吧 Ginspiration",,,,,https://www.facebook.com/ginspirationbar/,"02 2556 2526","18:30 - 0:00，週五週六開到1點，週二未營業",taipei,台北市大同區迪化街一段76號3樓
"AHA Saloon",Yes,No,No,No,,,,taipei,台北市大安區復興南路二段138號
"B Line by A Train",Yes,,,,,,,taipei,台北市中正區忠孝東路二段104號
"Swagger x Old'98",Yes,,,,https://www.facebook.com/pages/category/Wine-Bar/Swagger-x-Old98-422542907818158/,"02 3393 3000","20:00 - 2:00，週日未營業",taipei,金山南路二段134號之一
"Fourplay Cuisine",Yes,No,No,No,,,,taipei,台北市大安區東豐街49號&61號
掌門精釀啤酒-台北永康店,,Yes,Yes,,,,,taipei,台北市大安區永康街4巷10號
"Trio Cafe 三重奏 - 華山",,,,,,,,taipei,台北市中正區八德路一段1號
"SELF 私室",,,,,,,,taipei,台北市大安區樂利路39號
"安慰劑 Placebo Taipei",,,,,https://www.facebook.com/placebobar/,"02 8732 2345","20:00 - 2:00，週五週六開到3點",taipei,台北市信義區基隆路二段83號
小城外,Yes,,,,,,,taipei,103台北市大同區民生西路362巷15號
"The More Bar",,Yes,Yes,Yes,https://www.facebook.com/themorebar/,02-29253232,,taipei,新北市永和區中正路532號2F
備長碳酒吧,Yes,,,,,,,taipei,台台北市信義區光復南路447之28號
"C Park by A Train",Yes,,,,,,,taipei,台北市中山區松江路23-5號2樓
"D Town by A Train",Yes,,,,,,,taipei,台北市忠孝東路四段49巷2號2樓
"Motown Taipei",Yes,,Yes,,https://www.facebook.com/MotownTaipei/,"02 2722 3230",19:00–02:00，週五週六開到3點,taipei,台北市信義區仁愛路四段434號
"WA SHU",Yes,No,No,No,https://www.facebook.com/washutaipei/,"2771 4240",20:00-03:00,taipei,台北市大安區忠孝東路4段101巷39號A2
綠洲酒館,Yes,Yes,Yes,No,https://www.facebook.com/pages/category/Pub/The-oasis-tavern-綠洲酒館-482176108638887/,"02 2703 9277",19:00–02:00,taipei,復興南路一段279巷26號
"Bar There",Yes,,No,No,,"02 2929 9868",19:00–02:00，週一休息,taipei,新北市中和區安平路109號
Barcode,Yes,No,Yes,No,https://www.facebook.com/Barcode.Taipei/,0920168269,21:00-2:30,taipei,"5F, no. 22 Songshou rd, Taipei City"
貓下去敦北俱樂部,Yes,,,No,,,,taipei,台北市松山區敦化北路218號
"Ole Tapas Rum BAr",Yes,Yes,No,No,https://www.facebook.com/oletapasrumbar/,0909393633,18:00~02:00,taipei,台北市安和路一段109巷4號1樓
"EAST END",Yes,No,No,No,https://www.hotel-proverbs.com,"0903 531 851",14:00~02:00,taipei,"No. 56號大安路一段大安區台北市106"
D'N敦南酒窖Wine&cellar,No,No,No,No,https://www.facebook.com/DNwinecellar/,02-27082989,"週一至週六5PM-2AM,週日公休",taipei,"敦化南路二段140號, 1樓, No. 140, Section 2, Dunhua South Road"
"A Train Leads The Way To Jazz",Yes,,,,,,,taipei,台北市中山區八德路二段233號2樓
"Echo Bistro",Yes,Yes,Yes,No,www.facebook.com/Echobistro,29299191,17:30~00:30,taipei,新北市永和區永貞路291號
"躁鎮 Mania",,,,,https://www.facebook.com/BarMania.TPE/,"02 8732 1288",18:00–01:00，週五週六開到2點,taipei,台北市大安區樂利路59號
"Jumi Tavern",,,,,,,,taipei,台北市仁愛路四段345巷4弄39號
Kashoku,,,,,,"02 2377 9199",20:00–02:00，週日未營業,taipei,台北市大安區安和路二段171巷7號
"Draft Land",,,,,https://www.facebook.com/draftland/,,18:00–01:00,taipei,台北市大安區忠孝東路四段248巷2號1樓
溫柔鄉,,,,,,,,taipei,台北市中山區錦州街175巷22號
"45 Pub",Yes,,,,,,,taipei,台北市大安區和平東路一段45號
Revolver,,,,,,,,taipei,台北市中正區羅斯福路一段1-1號
Digout,Yes,,,,,,,taipei,106台北市大安區信義路四段307號
"Hop In 精釀啤酒小舖",No,Yes,Yes,No,https://www.facebook.com/HopInTW/,03-4258700,16:00~02:00,taoyuan,桃園市中壢區廣安街11號2樓
"B612 restaurant & bar",Yes,No,No,No,https://m.facebook.com/planetb612bar/,02-27796088,星期一-四18:00-01:00，星期五、六18:00-02:00,taipei,台北市大安區光復南路260巷51號
"mix bistro",Yes,No,Yes,No,https://www.facebook.com/MixBistro.tw/,"03 336 9008","1700-0200 (週四公休)",taoyuan,桃園市桃園區成功路一段5號2樓
"Old.Trick 佬掉牙商行",,,,,https://www.facebook.com/oldtrick68/,,,kaohsiung,高雄市鹽埕區大勇路68號
"Paramount Bar 《百樂門酒館》",,,,,https://www.facebook.com/paramount.bar/,,,kaohsiung,高雄市三民區民族一路70號
"Marsalis Bar 馬沙里斯爵士酒館",,,,,https://www.facebook.com/marsalisbar.tw/,,,kaohsiung,高雄市前金區中正四路73號
"萬.吧 ONE.Bar",,,,,https://www.facebook.com/ONEBARRR/,,,kaohsiung,高雄市苓雅區青年一路261巷1號
Goin,,,,,https://www.facebook.com/goin70/,,,tainan,台南市中西區和平街70號
後面還有小酒館,Yes,No,No,No,https://www.facebook.com/後面還有小酒館打卡地標-210091852451753/,,"21:00 - 3:00；不定休，請參考FB",tainan,台南市北區海安路3段54巷
"Hop In Taproom 新埔七街咖啡小酒館",No,Yes,Yes,No,https://www.facebook.com/HopInTaproom/,03-3253611,15:00~02:00,taoyuan,桃園市桃園區新埔七街八號
"三千 - Atman Space",,,,,https://www.facebook.com/三千-Atman-Space-163498877344781/,,,kaohsiung,高雄市前金區文武三街194號
福來許,Yes,,,,,,,taipei,103台北市大同區迪化街一段76號
Lola蘿拉冷飲店,,,,,https://www.facebook.com/Lola蘿拉冷飲店-229480470793019/,,,tainan,台南市中西區信義街110號
