name,粉專網址,下單網址,地址
"Kakalove Cafe",https://www.facebook.com/KaKaLoveCafe/,https://www.kakalovecafe.com.tw,嘉義市博愛路二段421號
"TRUE COFFEE烘焙工作室",https://www.facebook.com/true.coffee2010/,https://www.true-coffee2010.com,新北市中和區連勝街78號
FikaFikaCafe,https://www.facebook.com/FikaFikaCafe/,http://www.fikafika.cc,伊通門市：台北市中山區伊通街33號；陽光門市：台北市內湖區陽光街321巷40號
"GOODMANS SPECIALTY COFFEE",https://www.facebook.com/GoodmansCoffee/,https://www.pinkoi.com/store/goodman-coffee,天母店:台北市天玉街110號；芝山店:台北市士林區德行西路38號(近芝山站)
"HOFFE COFFEE",https://www.facebook.com/hoffedesign/,https://hoffecoffee.waca.ec,"台北市中山北路和民族西路口(MAJI 集食行樂)"
"哈本咖啡 Happen Coffee",https://www.facebook.com/Happencoffee/,https://www.pinkoi.com/store/happencafe,台南市東區長榮路三段三號2樓
貝狗烘烘,https://www.facebook.com/bagelhomehome/,https://shopee.tw/mengcafe520,桃園市平鎮區
"Coffest 大隱珈琲",https://www.facebook.com/COFFEST/,https://www.pinkoi.com/store/coffest,台北市內湖區
Moose咖啡烘焙,https://www.facebook.com/moosecoffebeans/,http://www.moosecoffee.com.tw/contact.php,台中市
小趣自家烘焙咖啡,https://www.facebook.com/FunnyBean20/,https://www.funnybean20.com,
紐西蘭銀蕨咖啡,https://m.facebook.com/profile.php?id=959455664095611&ref=content_filter,http://seller.pcstore.com.tw/S168443683,新北市新店區
丹尼的造咖,https://www.facebook.com/dannyroastatkitchen/,https://shopee.tw/dannyscoffee,新莊區建安街19號
綜合家咖啡烘焙,https://www.facebook.com/blendercoffee168,,高雄市
"瞇瞇眼咖啡Ming’s Coffee Playroom",https://www.facebook.com/coffeeplayroom/,http://goo.gl/forms/9GXz722Ojv,
coffeestopover,https://facebook.com/coffeestopover/?locale2=zh_TW,http://www.coffeestopover.com,台中市西區民權路217巷24號
"KJ Coffee【啡創工坊】",https://www.facebook.com/groups/1659381007633723/about/,https://shopee.tw/shop/6932404/search/,苗栗縣頭份鎮四季山莊
"The CURVE Coffee Roasting Co. - SCAA Campus.",https://www.facebook.com/thecurvecoffee/,http://www.pcstore.com.tw/akuan/,台中市西屯區黎明路二段912-1號
咖啡漫談,https://www.facebook.com/SakiCafe.2.0/,https://line.me/R/ti/p/%40ysy8127s,高雄市三民區光武路五號一樓
拾穗咖啡,https://www.facebook.com/GleanerCoffee/,,新竹市東區長春街105巷1號1樓
小豆老師嚴選烘焙,https://www.facebook.com/cofocoffee,https://shopee.tw/mechtec,桃園市八德區介壽路一段977號2樓
"燃木咖啡烘焙工作室Fuelwood Cafe ",https://www.facebook.com/fuelwoodcafe/,https://shopee.tw/shucheng_chen,高雄市前鎮區中安路73號
"Wolong Coffee Studio臥龍咖啡工作室",https://www.facebook.com/wolongcoffee/,https://shopee.tw/wolongcoffee,高雄市三民區慶雲街117號
森林咖啡陶鍋手焙,https://www.facebook.com/FCPbaking/,http://seller.pcstore.com.tw/S170359135/C1173474351.htm,
simonecafe,https://www.facebook.com/simonecafe,http://seller.pcstore.com.tw/S138661126,
螺絲店樓上的自家烘焙咖啡,https://www.facebook.com/upbeans,http://seller.pcstore.com.tw/S129383518/,
"悠樂咖啡Euphora Coffee Studio",https://m.facebook.com/coffee.euphora/,https://m.facebook.com/coffee.euphora/,台北市北投區
"恆萃咖啡Coffee Forever-自家烘焙咖啡店",https://www.facebook.com/licoffeefoever/,https://www.facebook.com/licoffeefoever/,
目目咖啡,https://www.facebook.com/mumucoffeeshop/,https://docs.google.com/forms/d/e/1FAIpQLSe-_2HkADK5gevjF77VYU361V4_tgMym3viBzWc_u_q_8h9Tw/viewform,
"CABAL fresh roasted coffee",https://m.facebook.com/cabalstudiollc,https://m.facebook.com/cabalstudiollc,
五色鳥咖啡,https://www.facebook.com/5colorcoffee/,https://www.facebook.com/5colorcoffee/,台北市羅斯福路四段92號2樓31R
"Whatever 都好咖啡",https://www.facebook.com/drwhatever100/,https://shopee.tw/drwhatever,花蓮市復興新村55-1號(忠烈祠旁)
"Resa Cafe 旅途咖啡",https://www.facebook.com/Resa.Cafe/,https://shopee.tw/resa.cafe,
"斑馬烘豆鋪Zebra Roastery",https://www.facebook.com/zebraroastery/,https://www.facebook.com/zebraroastery/,
鉄皮卡咖啡工作室,https://www.facebook.com/jan41134113/,https://www.facebook.com/jan41134113/,
"INSINGERKAFFEE 硬性格咖啡",https://www.facebook.com/insingerkaffee/,http://www.insingerkaffee.com.tw/v2/official,
"有明心 Coffee Roasters",https://www.facebook.com/GrassMountainCoffee/,https://shopee.tw/grassmountaincoffee,臺北市士林區格致路38號
