店名,捷運線,捷運站,營業類型,是否連鎖,行政區,營業時間,電話,地址,官網
大石家拉麵,松山新店線,,台灣人開店,,松山,,,,
一蘭拉麵,板南線,,日本店來台展店,,信義,,,,
五之神製作所 台灣,板南線,,日本店來台展店,,信義,,,,
武吉家親子食堂,中和新蘆線,大橋頭站,台灣人開店,,大同,"11:00–14:30, 16:00–20:30，週日休",0980-863581,台北市大同區昌吉街150號,https://www.facebook.com/takayoshiya/
日魂拉麵,中和新蘆線,中山國小站,台灣人開店,,中山,11am-8:30pm,02-25869819,台北市中山區雙城街3之1號,https://zh-tw.facebook.com/%E6%97%A5%E9%AD%82%E6%8B%89%E9%BA%B5%E4%B8%BC%E9%A3%AF%E6%96%99%E7%90%86-1038751026219482/?ref=page_internal
小樽拉麵-錦州店,中和新蘆線,行天宮站,台灣人開店,Yes,中山,"一到五 11am-2pm, 5:30pm-9pm；六日11am-3pm, 5pm-9pm",02-2500-0619,台北市中山區錦州街255號,缺
味都拉麵,中和新蘆線,行天宮站,台灣人開店,,中山,11am-8pm,02-25718126,台北市中山區民權東路二段92巷5號,https://www.facebook.com/wedoramen/
巢鴨壽司,中和新蘆線,行天宮站,台灣人開店,,中山,"11:30–14:00, 17:30–22:00",02-2581 7680,台北市中山區民權東路二段116號,缺
日本飛驒高山拉麵-古亭,"中和新蘆線,松山新店線",古亭站,台灣人開店,,大安,缺,缺,台北市大安區和平東路一段162號,缺
三本拉麵,"中和新蘆線,松山新店線",松江南京站,台灣人開店,Yes,中山,"11:30 - 14:30, 17:00 - 21:30",02-2516 6200,台北市中山區建國北路二段26號,https://www.facebook.com/SanbenRamen/
鬼金棒三店,"中和新蘆線,松山新店線",松江南京站,日本店來台展店,Yes,中山,"11:30–14:00, 17:00–20:30",無,台北市中山區松江路123巷12號,https://www.facebook.com/kikanbotw/
麵lab,"中和新蘆線,松山新店線",松江南京站,台灣人開店,Yes,中山,"一到六11:00-14:30,17:00-21:00；週日休",02-2506-0202,台北市中山區伊通街66巷5之3號,https://www.facebook.com/pages/%E9%BA%B5lab/500574563663636
